Loading corpus at level h2 ...
  31 clusters, 1,986,659 documents (smallest 20448, largest 169315)

Running intrusion | level=h2 | model=deepseek-v4-flash | prompt=decisive | trials=1000 | seed=20250628

Trial    1 | true=2 pred=2 | OK
Trial    2 | true=1 pred=1 | OK
Trial    3 | true=2 pred=2 | OK
Trial    4 | true=5 pred=5 | OK
Trial    5 | true=3 pred=3 | OK
Trial    6 | true=5 pred=3 |  X
Trial    7 | true=5 pred=5 | OK
Trial    8 | true=2 pred=2 | OK
Trial    9 | true=2 pred=5 |  X
Trial   10 | true=5 pred=5 | OK
Trial   11 | true=5 pred=1 |  X [truncated]
Trial   12 | true=3 pred=5 |  X
Trial   13 | true=5 pred=5 | OK
Trial   14 | true=1 pred=4 |  X
Trial   15 | true=2 pred=2 | OK
Trial   16 | true=5 pred=5 | OK
Trial   17 | true=1 pred=4 |  X
Trial   18 | true=1 pred=5 |  X
Trial   19 | true=1 pred=5 |  X
Trial   20 | true=3 pred=3 | OK
Trial   21 | true=5 pred=5 | OK
Trial   22 | true=3 pred=3 | OK
Trial   23 | true=3 pred=3 | OK
Trial   24 | true=2 pred=2 | OK
Trial   25 | true=4 pred=4 | OK
Trial   26 | true=4 pred=4 | OK
Trial   27 | true=1 pred=1 | OK
Trial   28 | true=1 pred=5 |  X
Trial   29 | true=3 pred=1 |  X
Trial   30 | true=2 pred=2 | OK
Trial   31 | true=4 pred=2 |  X
Trial   32 | true=5 pred=5 | OK
Trial   33 | true=3 pred=3 | OK
Trial   34 | true=4 pred=4 | OK
Trial   35 | true=2 pred=2 | OK
Trial   36 | true=3 pred=5 |  X
Trial   37 | true=2 pred=2 | OK
Trial   38 | true=5 pred=5 | OK
Trial   39 | true=3 pred=3 | OK
Trial   40 | true=3 pred=3 | OK
Trial   41 | true=1 pred=2 |  X
Trial   42 | true=2 pred=2 | OK
Trial   43 | true=4 pred=4 | OK
Trial   44 | true=1 pred=1 | OK
Trial   45 | true=3 pred=3 | OK
Trial   46 | true=4 pred=4 | OK
Trial   47 | true=2 pred=2 | OK
Trial   48 | true=3 pred=3 | OK [truncated]
Trial   49 | true=1 pred=2 |  X
Trial   50 | true=1 pred=5 |  X
Trial   51 | true=1 pred=1 | OK
Trial   52 | true=2 pred=2 | OK
Trial   53 | true=5 pred=5 | OK
Trial   54 | true=2 pred=2 | OK
Trial   55 | true=3 pred=3 | OK
Trial   56 | true=1 pred=1 | OK
Trial   57 | true=5 pred=3 |  X
Trial   58 | true=1 pred=1 | OK
Trial   59 | true=3 pred=3 | OK
Trial   60 | true=3 pred=3 | OK
Trial   61 | true=1 pred=1 | OK
Trial   62 | true=1 pred=1 | OK
Trial   63 | true=4 pred=4 | OK
Trial   64 | true=2 pred=3 |  X
Trial   65 | true=4 pred=4 | OK
Trial   66 | true=2 pred=2 | OK
Trial   67 | true=2 pred=1 |  X
Trial   68 | true=1 pred=1 | OK
Trial   69 | true=1 pred=1 | OK
Trial   70 | true=5 pred=5 | OK
Trial   71 | true=3 pred=3 | OK
Trial   72 | true=4 pred=4 | OK
Trial   73 | true=4 pred=5 |  X
Trial   74 | true=3 pred=1 |  X
Trial   75 | true=5 pred=5 | OK
Trial   76 | true=3 pred=3 | OK
Trial   77 | true=1 pred=1 | OK
Trial   78 | true=2 pred=1 |  X
Trial   79 | true=4 pred=4 | OK
